term,document_frequency,total_tfidf
number,4305,856.7675423892567
flight,3803,653.1529745071986
thanks,1041,331.9077185161891
url,1163,318.76131868009014
hour,1073,260.301998820464
thank,581,253.38014400235073
cancelled,989,229.78036797860855
service,960,225.55499483022868
just,943,224.30081117134557
time,878,217.8919434089915
help,816,213.8671787311462
customer,889,213.32530293299672
bag,689,179.7490545047561
hold,615,176.7866473111204
plane,673,176.31920306989423
need,606,161.07929834174774
airline,532,149.11116294172027
delayed,511,144.05988043995322
day,526,142.07235664103433
gate,499,136.97308281801565
flightled,487,136.5636788445649
phone,441,127.75148098093825
guy,411,126.23495518841813
got,440,125.0657762698256
delay,426,122.87603212745309
like,417,120.03883045390091
seat,423,118.84028275049509
today,408,115.02336910138452
great,314,111.84758852270818
know,373,111.56297423653021
waiting,348,110.80342274013601
fly,366,109.35704085658446
late,401,108.76149171777845
dm,246,107.46413457048487
agent,398,107.44484601100714
did,320,103.1962050561709
minute,325,102.96588899508089
make,363,102.94664088203186
ticket,366,102.53159336607037
way,346,102.47535602419485
airport,356,101.10909418838284
trying,339,101.0924587414367
change,340,99.80041644691582
going,314,96.65188711721707
wait,314,94.9628179896715
good,291,94.80101701467648
tomorrow,297,94.32196348442659
flying,302,93.09578657863973
really,294,91.15314406032826
home,284,89.13851779862208
