term,document_frequency,total_tfidf
number,4305,804.6655513874529
flight,3807,610.7772464820127
thanks,1043,315.19909761182436
url,1163,285.42762276157043
get,1298,269.6510419268178
thank,579,243.1084903669395
hour,1064,240.06188696912864
cancelled,990,216.83963292574518
service,957,211.49245107828455
customer,892,201.0121342391614
help,833,200.99702482197148
time,875,200.41125169001725
bag,687,167.16234640487585
plane,678,164.61884261361763
hold,614,163.92948563453018
please,541,151.71517470282947
need,605,149.71274314107484
still,563,144.45814247900697
would,577,142.5303424366924
airline,541,140.63155467541227
one,548,139.99912457159562
call,511,138.30673420803012
amp,610,137.1480025573177
delayed,512,134.9709579955292
ca,519,130.87394328590076
day,519,129.61178317944456
gate,498,129.32153299618855
flightled,487,128.2348572256678
back,505,125.48414792959349
got,455,120.60439001801252
guy,409,118.5992355757669
phone,437,116.51307493280828
delay,420,114.13949968211561
like,417,112.33509482975124
seat,422,111.1042745672943
today,415,110.06393539709242
dm,261,109.91615121851618
great,314,105.14097014467401
know,371,104.25219345641074
late,403,103.83494663833709
waiting,349,102.92125881388057
agent,397,101.00816212861221
fly,365,99.17175164900084
minute,323,97.1575198349538
make,362,95.9789042592424
ticket,363,94.88107939316163
airport,356,94.37418893851635
way,340,94.22698531856958
trying,339,93.24103401430884
change,334,92.64143744210526
